Year (time)","Geographic Area Name (NAME)","Meaning of Survey Component (SVY_COMP_LABEL)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Meaning of Type of Government (GOVTYPE_LABEL)","Amount (AMOUNT_FORMATTED)"
"2017","Vermont","Government Organization","Total Federal, state, and local government units","State and Local","730"
"2022","Vermont","Government Organization","Total Federal, state, and local government units","State and Local","575"
"1942","Virginia","Government Organization","Total Federal, state, and local government units","State and Local","323"
"1952","Virginia","Government Organization","Total Federal, state, and local government units","State and Local","366"
"1957","Virginia","Government Organization","Total Federal, state, and local government units","State and Local","367"
"1962","Virginia","Government Organization","Total Federal, state, and local government units","State and Local","381"
"1967","Virginia","Government Organization","Total Federal, state, and local government units","State and Local","374"
"1972","Virginia","Government Organization","Total Federal, state, and local government units","State and Local","386"
"1977","Virginia","Government Organization","Total Federal, state, and local government units","State and Local","390"
"1982","Virginia","Government Organization","Total Federal, state, and local government units","State and Local","408"
"1987","Virginia","Government Organization","Total Federal, state, and local government units","State and Local","431"
"1992","Virginia","Government Organization","Total Federal, state, and local government units","State and Local","455"
"1997","Virginia","Government Organization","Total Federal, state, and local government units","State and Local","484"
"2002","Virginia","Government Organization","Total Federal, state, and local government units","State and Local","522"
"2007","Virginia","Government Organization","Total Federal, state, and local government units","State and Local","512"
"2012","Virginia","Government Organization","Total Federal, state, and local government units","State and Local","519"
"2017","Virginia","Government Organization","Total Federal, state, and local government units","State and Local","518"
"2022","Virginia","Government Organization","Total Federal, state, and local government units","State and Local","523"
"1942","Washington","Government Organization","Total Federal, state, and local government units","State and Local","1,906"
"1952","Washington","Government Organization","Total Federal, state, and local government units","State and Local","1,539"
"1957","Washington","Government Organization","Total Federal, state, and local government units","State and Local","1,577"
"1962","Washington","Government Organization","Total Federal, state, and local government units","State and Local","1,647"
"1967","Washington","Government Organization","Total Federal, state, and local government units","State and Local","1,653"
"1972","Washington","Government Organization","Total Federal, state, and local government units","State and Local","1,683"
"1977","Washington","Government Organization","Total Federal, state, and local government units","State and Local","1,667"
"1982","Washington","Government Organization","Total Federal, state, and local government units","State and Local","1,735"
"1987","Washington","Government Organization","Total Federal, state, and local government units","State and Local","1,780"
"1992","Washington","Government Organization","Total Federal, state, and local government units","State and Local","1,761"
"1997","Washington","Government Organization","Total Federal, state, and local government units","State and Local","1,813"
"2002","Washington","Government Organization","Total Federal, state, and local government units","State and Local","1,788"
"2007","Washington","Government Organization","Total Federal, state, and local government units","State and Local","1,846"
"2012","Washington","Government Organization","Total Federal, state, and local government units","State and Local","1,901"
"2017","Washington","Government Organization","Total Federal, state, and local government units","State and Local","1,901"
"2022","Washington","Government Organization","Total Federal, state, and local government units","State and Local","1,891"
"1942","West Virginia","Government Organization","Total Federal, state, and local government units","State and Local","326"
"1952","West Virginia","Government Organization","Total Federal, state, and local government units","State and Local","350"
"1957","West Virginia","Government Organization","Total Federal, state, and local government units","State and Local","362"
"1962","West Virginia","Government Organization","Total Federal, state, and local government units","State and Local","390"
"1967","West Virginia","Government Organization","Total Federal, state, and local government units","State and Local","456"
"1972","West Virginia","Government Organization","Total Federal, state, and local government units","State and Local","509"
"1977","West Virginia","Government Organization","Total Federal, state, and local government units","State and Local","596"
"1982","West Virginia","Government Organization","Total Federal, state, and local government units","State and Local","634"
"1987","West Virginia","Government Organization","Total Federal, state, and local government units","State and Local","631"
"1992","West Virginia","Government Organization","Total Federal, state, and local government units","State and Local","692"
"1997","West Virginia","Government Organization","Total Federal, state, and local government units","State and Local","705"
"2002","West Virginia","Government Organization","Total Federal, state, and local government units","State and Local","687"
"2007","West Virginia","Government Organization","Total Federal, state, and local government units","State and Local","664"
"2012","West Virginia","Government Organization","Total Federal, state, and local government units","State and Local","660"
"2017","West Virginia","Government Organization","Total Federal, state, and local government units","State and Local","652"
"2022","West Virginia","Government Organization","Total Federal, state, and local government units","State and Local","640"
"1942","Wisconsin","Government Organization","Total Federal, state, and local government units","State and Local","8,508"
"1952","Wisconsin","Government Organization","Total Federal, state, and local government units","State and Local","7,258"
"1957","Wisconsin","Government Organization","Total Federal, state, and local government units","State and Local","5,731"
"1962","Wisconsin","Government Organization","Total Federal, state, and local government units","State and Local","3,727"
"1967","Wisconsin","Government Organization","Total Federal, state, and local government units","State and Local","2,491"
"1972","Wisconsin","Government Organization","Total Federal, state, and local government units","State and Local","2,449"
"1977","Wisconsin","Government Organization","Total Federal, state, and local government units","State and Local","2,519"
"1982","Wisconsin","Government Organization","Total Federal, state, and local government units","State and Local","2,593"
"1987","Wisconsin","Government Organization","Total Federal, state, and local government units","State and Local","2,720"
"1992","Wisconsin","Government Organization","Total Federal, state, and local government units","State and Local","2,739"
"1997","Wisconsin","Government Organization","Total Federal, state, and local government units","State and Local","3,060"
"2002","Wisconsin","Government Organization","Total Federal, state, and local government units","State and Local","3,049"
"2007","Wisconsin","Government Organization","Total Federal, state, and local government units","State and Local","3,121"
"2012","Wisconsin","Government Organization","Total Federal, state, and local government units","State and Local","3,129"
"2017","Wisconsin","Government Organization","Total Federal, state, and local government units","State and Local","3,097"
"2022","Wisconsin","Government Organization","Total Federal, state, and local government units","State and Local","3,063"
"1942","Wyoming","Government Organization","Total Federal, state, and local government units","State and Local","531"
"1952","Wyoming","Government Organization","Total Federal, state, and local government units","State and Local","519"
"1957","Wyoming","Government Organization","Total Federal, state, and local government units","State and Local","489"
"1962","Wyoming","Government Organization","Total Federal, state, and local government units","State and Local","465"
"1967","Wyoming","Government Organization","Total Federal, state, and local government units","State and Local","473"
"1972","Wyoming","Government Organization","Total Federal, state, and local government units","State and Local","384"
"1977","Wyoming","Government Organization","Total Federal, state, and local government units","State and Local","386"
"1982","Wyoming","Government Organization","Total Federal, state, and local government units","State and Local","396"
"1987","Wyoming","Government Organization","Total Federal, state, and local government units","State and Local","425"
"1992","Wyoming","Government Organization","Total Federal, state, and local government units","State and Local","550"
"1997","Wyoming","Government Organization","Total Federal, state, and local government units","State and Local","655"
"2002","Wyoming","Government Organization","Total Federal, state, and local government units","State and Local","723"
"2007","Wyoming","Government Organization","Total Federal, state, and local government units","State and Local","727"
"2012","Wyoming","Government Organization","Total Federal, state, and local government units","State and Local","806"
"2017","Wyoming","Government Organization","Total Federal, state, and local government units","State and Local","795"
"2022","Wyoming","Government Organization","Total Federal, state, and local government units","State and Local","821"
