Year (time)","Geographic Area Name (NAME)","Meaning of Survey Component (SVY_COMP_LABEL)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Meaning of Type of Government (GOVTYPE_LABEL)","Amount (AMOUNT_FORMATTED)"
"1967","Louisiana","Government Organization","Total Federal, state, and local government units","State and Local","734"
"1972","Louisiana","Government Organization","Total Federal, state, and local government units","State and Local","835"
"1977","Louisiana","Government Organization","Total Federal, state, and local government units","State and Local","459"
"1982","Louisiana","Government Organization","Total Federal, state, and local government units","State and Local","469"
"1987","Louisiana","Government Organization","Total Federal, state, and local government units","State and Local","453"
"1992","Louisiana","Government Organization","Total Federal, state, and local government units","State and Local","459"
"1997","Louisiana","Government Organization","Total Federal, state, and local government units","State and Local","468"
"2002","Louisiana","Government Organization","Total Federal, state, and local government units","State and Local","474"
"2007","Louisiana","Government Organization","Total Federal, state, and local government units","State and Local","527"
"2012","Louisiana","Government Organization","Total Federal, state, and local government units","State and Local","530"
"2017","Louisiana","Government Organization","Total Federal, state, and local government units","State and Local","517"
"2022","Louisiana","Government Organization","Total Federal, state, and local government units","State and Local","535"
"1942","Maine","Government Organization","Total Federal, state, and local government units","State and Local","584"
"1952","Maine","Government Organization","Total Federal, state, and local government units","State and Local","664"
"1957","Maine","Government Organization","Total Federal, state, and local government units","State and Local","645"
"1962","Maine","Government Organization","Total Federal, state, and local government units","State and Local","659"
"1967","Maine","Government Organization","Total Federal, state, and local government units","State and Local","699"
"1972","Maine","Government Organization","Total Federal, state, and local government units","State and Local","715"
"1977","Maine","Government Organization","Total Federal, state, and local government units","State and Local","780"
"1982","Maine","Government Organization","Total Federal, state, and local government units","State and Local","807"
"1987","Maine","Government Organization","Total Federal, state, and local government units","State and Local","801"
"1992","Maine","Government Organization","Total Federal, state, and local government units","State and Local","797"
"1997","Maine","Government Organization","Total Federal, state, and local government units","State and Local","833"
"2002","Maine","Government Organization","Total Federal, state, and local government units","State and Local","827"
"2007","Maine","Government Organization","Total Federal, state, and local government units","State and Local","851"
"2012","Maine","Government Organization","Total Federal, state, and local government units","State and Local","841"
"2017","Maine","Government Organization","Total Federal, state, and local government units","State and Local","835"
"2022","Maine","Government Organization","Total Federal, state, and local government units","State and Local","829"
"1942","Maryland","Government Organization","Total Federal, state, and local government units","State and Local","207"
"1952","Maryland","Government Organization","Total Federal, state, and local government units","State and Local","328"
"1957","Maryland","Government Organization","Total Federal, state, and local government units","State and Local","328"
"1962","Maryland","Government Organization","Total Federal, state, and local government units","State and Local","352"
"1967","Maryland","Government Organization","Total Federal, state, and local government units","State and Local","362"
"1972","Maryland","Government Organization","Total Federal, state, and local government units","State and Local","404"
"1977","Maryland","Government Organization","Total Federal, state, and local government units","State and Local","427"
"1982","Maryland","Government Organization","Total Federal, state, and local government units","State and Local","440"
"1987","Maryland","Government Organization","Total Federal, state, and local government units","State and Local","402"
"1992","Maryland","Government Organization","Total Federal, state, and local government units","State and Local","402"
"1997","Maryland","Government Organization","Total Federal, state, and local government units","State and Local","421"
"2002","Maryland","Government Organization","Total Federal, state, and local government units","State and Local","266"
"2007","Maryland","Government Organization","Total Federal, state, and local government units","State and Local","257"
"2012","Maryland","Government Organization","Total Federal, state, and local government units","State and Local","348"
"2017","Maryland","Government Organization","Total Federal, state, and local government units","State and Local","345"
"2022","Maryland","Government Organization","Total Federal, state, and local government units","State and Local","343"
"1942","Massachusetts","Government Organization","Total Federal, state, and local government units","State and Local","409"
"1952","Massachusetts","Government Organization","Total Federal, state, and local government units","State and Local","584"
"1957","Massachusetts","Government Organization","Total Federal, state, and local government units","State and Local","573"
"1962","Massachusetts","Government Organization","Total Federal, state, and local government units","State and Local","587"
"1967","Massachusetts","Government Organization","Total Federal, state, and local government units","State and Local","655"
"1972","Massachusetts","Government Organization","Total Federal, state, and local government units","State and Local","683"
"1977","Massachusetts","Government Organization","Total Federal, state, and local government units","State and Local","767"
"1982","Massachusetts","Government Organization","Total Federal, state, and local government units","State and Local","799"
"1987","Massachusetts","Government Organization","Total Federal, state, and local government units","State and Local","837"
"1992","Massachusetts","Government Organization","Total Federal, state, and local government units","State and Local","844"
"1997","Massachusetts","Government Organization","Total Federal, state, and local government units","State and Local","862"
"2002","Massachusetts","Government Organization","Total Federal, state, and local government units","State and Local","842"
"2007","Massachusetts","Government Organization","Total Federal, state, and local government units","State and Local","862"
"2012","Massachusetts","Government Organization","Total Federal, state, and local government units","State and Local","858"
"2017","Massachusetts","Government Organization","Total Federal, state, and local government units","State and Local","859"
"2022","Massachusetts","Government Organization","Total Federal, state, and local government units","State and Local","857"
"1942","Michigan","Government Organization","Total Federal, state, and local government units","State and Local","8,106"
"1952","Michigan","Government Organization","Total Federal, state, and local government units","State and Local","6,766"
"1957","Michigan","Government Organization","Total Federal, state, and local government units","State and Local","5,160"
"1962","Michigan","Government Organization","Total Federal, state, and local government units","State and Local","3,817"
"1967","Michigan","Government Organization","Total Federal, state, and local government units","State and Local","2,904"
"1972","Michigan","Government Organization","Total Federal, state, and local government units","State and Local","2,650"
"1977","Michigan","Government Organization","Total Federal, state, and local government units","State and Local","2,634"
"1982","Michigan","Government Organization","Total Federal, state, and local government units","State and Local","2,644"
"1987","Michigan","Government Organization","Total Federal, state, and local government units","State and Local","2,700"
"1992","Michigan","Government Organization","Total Federal, state, and local government units","State and Local","2,722"
"1997","Michigan","Government Organization","Total Federal, state, and local government units","State and Local","2,776"
"2002","Michigan","Government Organization","Total Federal, state, and local government units","State and Local","2,805"
"2007","Michigan","Government Organization","Total Federal, state, and local government units","State and Local","2,894"
"2012","Michigan","Government Organization","Total Federal, state, and local government units","State and Local","2,876"
"2017","Michigan","Government Organization","Total Federal, state, and local government units","State and Local","2,864"
